"observationPeriods","StatVar","Units","MeasurementMethods","ScalingFactors","NumPlaces","MinDate"
"[]","Count_Student_AssessmentLevel3_Male_SchoolGrade6_Mathematics","[]","[]","[]","616","2006"
"[]","Count_Student_AssessmentLevel3_Male_SchoolGrade5_Mathematics","[]","[]","[]","746","2006"
"[]","Count_Student_AssessmentLevel1_NoDisability_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade8_Mathematics","[]","[]","[]","484","2006"
"[]","Count_Student_AssessmentLevel3_Male_SchoolGrade7_Mathematics","[]","[]","[]","509","2006"
"[]","Count_Student_AssessmentLevel3_Male_SchoolGrade3_Mathematics","[]","[]","[]","743","2006"
"[]","Count_Student_AssessmentLevel2_HispanicOrLatino_SchoolGrade8_Mathematics","[]","[]","[]","486","2006"
"[]","Count_Student_AssessmentLevel3_NoDisability_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade3_Mathematics","[]","[]","[]","708","2006"
"[]","Count_Student_AssessmentLevel3_AnyDisability_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade6_Mathematics","[]","[]","[]","577","2006"
"[]","Count_Student_AssessmentLevel2_HispanicOrLatino_SchoolGrade7_Mathematics","[]","[]","[]","493","2006"
"[]","Count_Student_AssessmentLevel2_HispanicOrLatino_SchoolGrade6_Mathematics","[]","[]","[]","597","2006"
"[]","Count_Student_AssessmentLevel3_Male_SchoolGrade8_Mathematics","[]","[]","[]","505","2006"
"[]","Count_Student_AssessmentLevel2_HispanicOrLatino_SchoolGrade3_Mathematics","[]","[]","[]","715","2006"
"[]","Count_Student_AssessmentLevel4_White_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_White_SchoolGrade8_Mathematics","[]","[]","[]","214","2006"
"[]","Count_Student_AssessmentLevel2_HispanicOrLatino_SchoolGrade5_Mathematics","[]","[]","[]","729","2006"
"[]","Count_Student_AssessmentLevel2_HispanicOrLatino_SchoolGrade4_Mathematics","[]","[]","[]","712","2006"
"[]","Count_Student_AssessmentLevel2_Female_SchoolGrade3_Mathematics","[]","[]","[]","729","2006"
"[]","Mean_Score_Student_EnglishLearner_SchoolGrade8_Mathematics","[]","[]","[]","344","2006"
"[]","Count_Student_AssessmentLevel3_FluentProficient_EnglishLearner_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_FluentProficient_EnglishLearner_SchoolGrade3_Mathematics","[]","[]","[]","736","2006"
"[]","Mean_Score_Student_EnglishLearner_SchoolGrade7_Mathematics","[]","[]","[]","361","2006"
"[]","Mean_Score_Student_EnglishLearner_SchoolGrade6_Mathematics","[]","[]","[]","453","2006"
"[]","Count_Student_AcademicAssessmentEvent_White_SchoolGrade3_Mathematics","[]","[]","[]","723","2006"
"[]","Count_Student_AssessmentLevel1_EnglishLearner_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_EnglishLearner_SchoolGrade4_Mathematics","[]","[]","[]","586","2006"
"[]","Mean_Score_Student_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","579","2006"
"[]","Mean_Score_Student_EnglishLearner_SchoolGrade3_Mathematics","[]","[]","[]","625","2006"
"[]","Count_Student_AssessmentLevel2_HispanicOrLatino_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_HispanicOrLatino_SchoolGrade6_Mathematics","[]","[]","[]","597","2006"
"[]","Count_Student_AssessmentLevel3_Male_SchoolGrade4_Mathematics","[]","[]","[]","731","2006"
"[]","Mean_Score_Student_EnglishLearner_SchoolGrade4_Mathematics","[]","[]","[]","586","2006"
"[]","Count_Student_AssessmentLevel3_AnyDisability_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade7_Mathematics","[]","[]","[]","476","2006"
"[]","Count_Student_AssessmentLevel1_HispanicOrLatino_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_HispanicOrLatino_SchoolGrade5_Mathematics","[]","[]","[]","729","2006"
"[]","Count_Student_AssessmentLevel3_Asian_SchoolGrade6_Mathematics","[]","[]","[]","275","2006"
"[]","Count_Student_AssessmentLevel1_White_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_White_SchoolGrade8_Mathematics","[]","[]","[]","214","2006"
"[]","Count_Student_AssessmentLevel3_Asian_SchoolGrade4_Mathematics","[]","[]","[]","363","2006"
"[]","Count_Student_AssessmentLevel3_SchoolGrade3_Mathematics","[]","[]","[]","10","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_FluentProficient_EnglishLearner_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_FluentProficient_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","746","2006"
"[]","Count_Student_AssessmentLevel2_NoDisability_SchoolGrade3_Mathematics","[]","[]","[]","708","2006"
"[]","Count_Student_AssessmentLevel2_White_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_White_SchoolGrade7_Mathematics","[]","[]","[]","213","2006"
"[]","Count_Student_AssessmentLevel3_SchoolGrade5_Mathematics","[]","[]","[]","12","2006"
"[]","Count_Student_AssessmentLevel2_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_SchoolGrade6_Mathematics","[]","[]","[]","10","2006"
"[]","Count_Student_AcademicAssessmentEvent_White_SchoolGrade5_Mathematics","[]","[]","[]","722","2006"
"[]","Count_Student_AssessmentLevel3_AnyDisability_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade8_Mathematics","[]","[]","[]","459","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_SchoolGrade4_Mathematics","[]","[]","[]","8","2006"
"[]","Count_Student_AssessmentLevel2_NoDisability_SchoolGrade5_Mathematics","[]","[]","[]","717","2006"
"[]","Count_Student_AcademicAssessmentEvent_White_SchoolGrade7_Mathematics","[]","[]","[]","483","2006"
"[]","Count_Student_AssessmentLevel3_SchoolGrade7_Mathematics","[]","[]","[]","8","2006"
"[]","Count_Student_AssessmentLevel2_NoDisability_SchoolGrade7_Mathematics","[]","[]","[]","490","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_Female_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade7_Mathematics","[]","[]","[]","504","2006"
"[]","Count_Student_AssessmentLevel4_EnglishLearner_SchoolGrade7_Mathematics","[]","[]","[]","361","2006"
"[]","Count_Student_AssessmentLevel4_EnglishLearner_SchoolGrade3_Mathematics","[]","[]","[]","625","2006"
"[]","Count_Student_AssessmentLevel4_White_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_White_SchoolGrade5_Mathematics","[]","[]","[]","349","2006"
"[]","Count_Student_AssessmentLevel2_White_SchoolGrade7_Mathematics","[]","[]","[]","213","2006"
"[]","Count_Student_AcademicAssessmentEvent_EnglishLearner_SchoolGrade6_Mathematics","[]","[]","[]","612","2006"
"[]","Count_Student_AssessmentLevel4_Female_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade8_Mathematics","[]","[]","[]","500","2006"
"[]","Count_Student_AssessmentLevel3_FluentProficient_EnglishLearner_SchoolGrade6_Mathematics","[]","[]","[]","619","2006"
"[]","Count_Student_AssessmentLevel3_FluentProficient_EnglishLearner_SchoolGrade4_Mathematics","[]","[]","[]","731","2006"
"[]","Count_Student_AcademicAssessmentEvent_EnglishLearner_SchoolGrade8_Mathematics","[]","[]","[]","493","2006"
"[]","Count_Student_AcademicAssessmentEvent_EnglishLearner_SchoolGrade4_Mathematics","[]","[]","[]","729","2006"
"[]","Count_Student_AssessmentLevel2_White_SchoolGrade5_Mathematics","[]","[]","[]","349","2006"
"[]","Mean_Score_Student_HispanicOrLatino_SchoolGrade5_Mathematics","[]","[]","[]","733","2006"
"[]","Count_Student_AssessmentLevel3_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_SchoolGrade8_Mathematics","[]","[]","[]","3","2006"
"[]","Count_Student_AssessmentLevel3_FluentProficient_EnglishLearner_SchoolGrade8_Mathematics","[]","[]","[]","510","2006"
"[]","Count_Student_AssessmentLevel3_Asian_SchoolGrade8_Mathematics","[]","[]","[]","231","2006"
"[]","Count_Student_AssessmentLevel4_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","579","2006"
"[]","Count_Student_AssessmentLevel2_White_SchoolGrade3_Mathematics","[]","[]","[]","369","2006"
"[]","Mean_Score_Student_HispanicOrLatino_SchoolGrade3_Mathematics","[]","[]","[]","718","2006"
"[]","Count_Student_AssessmentLevel1_White_SchoolGrade7_Mathematics","[]","[]","[]","213","2006"
"[]","Count_Student_AssessmentLevel1_White_SchoolGrade5_Mathematics","[]","[]","[]","349","2006"
"[]","Count_Student_AssessmentLevel4_SchoolGrade4_Mathematics","[]","[]","[]","8","2006"
"[]","Count_Student_AssessmentLevel4_SchoolGrade6_Mathematics","[]","[]","[]","10","2006"
"[]","Mean_Score_Student_HispanicOrLatino_SchoolGrade7_Mathematics","[]","[]","[]","493","2006"
"[]","Count_Student_AssessmentLevel1_White_SchoolGrade3_Mathematics","[]","[]","[]","369","2006"
"[]","Count_Student_AssessmentLevel4_SchoolGrade8_Mathematics","[]","[]","[]","3","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_NoDisability_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade7_Mathematics","[]","[]","[]","490","2006"
"[]","Count_Student_AssessmentLevel3_AnyDisability_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade5_Mathematics","[]","[]","[]","726","2006"
"[]","Count_Student_AssessmentLevel1_Asian_SchoolGrade6_Mathematics","[]","[]","[]","275","2006"
"[]","Count_Student_AssessmentLevel4_Female_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade6_Mathematics","[]","[]","[]","609","2006"
"[]","Count_Student_AssessmentLevel1_Asian_SchoolGrade8_Mathematics","[]","[]","[]","231","2006"
"[]","Count_Student_AssessmentLevel4_NoDisability_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade3_Mathematics","[]","[]","[]","708","2006"
"[]","Count_Student_AssessmentLevel2_Asian_SchoolGrade4_Mathematics","[]","[]","[]","363","2006"
"[]","Count_Student_AcademicAssessmentEvent_AnyDisability_SchoolGrade3_Mathematics","[]","[]","[]","743","2006"
"[]","Count_Student_AssessmentLevel1_EnglishLearner_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_EnglishLearner_SchoolGrade7_Mathematics","[]","[]","[]","361","2006"
"[]","Count_Student_AssessmentLevel4_Black_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade4_Mathematics","[]","[]","[]","614","2006"
"[]","Count_Student_AcademicAssessmentEvent_AnyDisability_SchoolGrade5_Mathematics","[]","[]","[]","756","2006"
"[]","Count_Student_AcademicAssessmentEvent_AnyDisability_SchoolGrade7_Mathematics","[]","[]","[]","522","2006"
"[]","Count_Student_AssessmentLevel4_HispanicOrLatino_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_HispanicOrLatino_SchoolGrade4_Mathematics","[]","[]","[]","712","2006"
"[]","Count_Student_AssessmentLevel1_Asian_SchoolGrade4_Mathematics","[]","[]","[]","363","2006"
"[]","Count_Student_AssessmentLevel2_Black_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade3_Mathematics","[]","[]","[]","617","2006"
"[]","Count_Student_AssessmentLevel4_Female_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade4_Mathematics","[]","[]","[]","718","2006"
"[]","Count_Student_AssessmentLevel1_NoDisability_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade5_Mathematics","[]","[]","[]","717","2006"
"[]","Count_Student_AssessmentLevel2_AnyDisability_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade7_Mathematics","[]","[]","[]","476","2006"
"[]","Count_Student_AssessmentLevel1_Male_SchoolGrade5_Mathematics","[]","[]","[]","746","2006"
"[]","Count_Student_AssessmentLevel2_AnyDisability_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade8_Mathematics","[]","[]","[]","459","2006"
"[]","Count_Student_AssessmentLevel3_NoDisability_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade6_Mathematics","[]","[]","[]","590","2006"
"[]","Count_Student_AssessmentLevel3_White_SchoolGrade6_Mathematics","[]","[]","[]","239","2006"
"[]","Count_Student_AssessmentLevel3_EnglishLearner_SchoolGrade6_Mathematics","[]","[]","[]","453","2006"
"[]","Count_Student_AssessmentLevel3_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","579","2006"
"[]","Mean_Score_Student_AnyDisability_SchoolGrade4_Mathematics","[]","[]","[]","710","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_NoDisability_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade5_Mathematics","[]","[]","[]","717","2006"
"[]","Count_Student_AssessmentLevel3_White_SchoolGrade5_Mathematics","[]","[]","[]","349","2006"
"[]","Mean_Score_Student_AnyDisability_SchoolGrade5_Mathematics","[]","[]","[]","726","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_SchoolGrade8_Mathematics","[]","[]","[]","3","2006"
"[]","Count_Student_AssessmentLevel1_Male_SchoolGrade6_Mathematics","[]","[]","[]","616","2006"
"[]","Count_Student_AssessmentLevel1_Black_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade7_Mathematics","[]","[]","[]","480","2006"
"[]","Count_Student_AssessmentLevel3_Asian_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_Asian_SchoolGrade3_Mathematics","[]","[]","[]","371","2006"
"[]","Count_Student_AssessmentLevel4_Asian_SchoolGrade7_Mathematics","[]","[]","[]","227","2006"
"[]","Count_Student_AssessmentLevel1_NoDisability_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade3_Mathematics","[]","[]","[]","708","2006"
"[]","Count_Student_AssessmentLevel4_Asian_SchoolGrade6_Mathematics","[]","[]","[]","275","2006"
"[]","Count_Student_AssessmentLevel2_White_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_White_SchoolGrade4_Mathematics","[]","[]","[]","355","2006"
"[]","Count_Student_AssessmentLevel3_HispanicOrLatino_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_HispanicOrLatino_SchoolGrade7_Mathematics","[]","[]","[]","493","2006"
"[]","Mean_Score_Student_AnyDisability_SchoolGrade8_Mathematics","[]","[]","[]","462","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_Black_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade6_Mathematics","[]","[]","[]","561","2006"
"[]","Count_Student_AssessmentLevel3_HispanicOrLatino_SchoolGrade8_Mathematics","[]","[]","[]","486","2006"
"[]","Count_Student_AssessmentLevel4_White_SchoolGrade6_Mathematics","[]","[]","[]","239","2006"
"[]","Count_Student_AssessmentLevel4_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_SchoolGrade5_Mathematics","[]","[]","[]","12","2006"
"[]","Count_Student_AssessmentLevel3_HispanicOrLatino_SchoolGrade7_Mathematics","[]","[]","[]","493","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_EnglishLearner_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","579","2006"
"[]","Count_Student_AssessmentLevel3_HispanicOrLatino_SchoolGrade3_Mathematics","[]","[]","[]","715","2006"
"[]","Count_Student_AssessmentLevel4_White_SchoolGrade5_Mathematics","[]","[]","[]","349","2006"
"[]","Count_Student_AssessmentLevel3_HispanicOrLatino_SchoolGrade4_Mathematics","[]","[]","[]","712","2006"
"[]","Count_Student_AssessmentLevel3_NoDisability_SchoolGrade6_Mathematics","[]","[]","[]","590","2006"
"[]","Count_Student_AssessmentLevel3_NoDisability_SchoolGrade5_Mathematics","[]","[]","[]","717","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_AnyDisability_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade7_Mathematics","[]","[]","[]","476","2006"
"[]","Mean_Score_Student_SchoolGrade7_Mathematics","[]","[]","[]","8","2006"
"[]","Count_Student_AssessmentLevel3_FluentProficient_EnglishLearner_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_FluentProficient_EnglishLearner_SchoolGrade6_Mathematics","[]","[]","[]","619","2006"
"[]","Count_Student_AssessmentLevel3_White_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_White_SchoolGrade3_Mathematics","[]","[]","[]","369","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_Female_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade6_Mathematics","[]","[]","[]","609","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_HispanicOrLatino_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_HispanicOrLatino_SchoolGrade3_Mathematics","[]","[]","[]","715","2006"
"[]","Count_Student_AssessmentLevel2_Asian_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_Asian_SchoolGrade4_Mathematics","[]","[]","[]","363","2006"
"[]","Count_Student_AcademicAssessmentEvent_Asian_SchoolGrade5_Mathematics","[]","[]","[]","825","2006"
"[]","Count_Student_AssessmentLevel4_Male_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_Male_SchoolGrade8_Mathematics","[]","[]","[]","505","2006"
"[]","Mean_Score_Student_SchoolGrade8_Mathematics","[]","[]","[]","3","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_HispanicOrLatino_SchoolGrade6_Mathematics","[]","[]","[]","597","2006"
"[]","Count_Student_AcademicAssessmentEvent_SchoolGrade7_Mathematics","[]","[]","[]","471","2006"
"[]","Count_Student_AssessmentLevel2_Male_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_Male_SchoolGrade8_Mathematics","[]","[]","[]","505","2006"
"[]","Count_Student_AssessmentLevel2_FluentProficient_EnglishLearner_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_FluentProficient_EnglishLearner_SchoolGrade6_Mathematics","[]","[]","[]","619","2006"
"[]","Count_Student_AssessmentLevel2_Black_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade6_Mathematics","[]","[]","[]","561","2006"
"[]","Count_Student_AssessmentLevel2_EnglishLearner_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","579","2006"
"[]","Count_Student_AcademicAssessmentEvent_SchoolGrade6_Mathematics","[]","[]","[]","11","2006"
"[]","Count_Student_AcademicAssessmentEvent_Asian_SchoolGrade6_Mathematics","[]","[]","[]","653","2006"
"[]","Mean_Score_Student_SchoolGrade3_Mathematics","[]","[]","[]","10","2006"
"[]","Count_Student_AcademicAssessmentEvent_SchoolGrade3_Mathematics","[]","[]","[]","10","2006"
"[]","Count_Student_AssessmentLevel3_NoDisability_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade8_Mathematics","[]","[]","[]","484","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_Female_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade5_Mathematics","[]","[]","[]","732","2006"
"[]","Mean_Score_Student_SchoolGrade4_Mathematics","[]","[]","[]","8","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_HispanicOrLatino_SchoolGrade5_Mathematics","[]","[]","[]","729","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_AnyDisability_SchoolGrade7_Mathematics","[]","[]","[]","476","2006"
"[]","Count_Student_AssessmentLevel3_FluentProficient_EnglishLearner_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_FluentProficient_EnglishLearner_SchoolGrade8_Mathematics","[]","[]","[]","510","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_AnyDisability_SchoolGrade3_Mathematics","[]","[]","[]","725","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_SchoolGrade3_Mathematics","[]","[]","[]","10","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_Black_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade3_Mathematics","[]","[]","[]","617","2006"
"[]","Count_Student_AssessmentLevel3_SchoolGrade6_Mathematics","[]","[]","[]","10","2006"
"[]","Count_Student_AssessmentLevel1_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_SchoolGrade5_Mathematics","[]","[]","[]","12","2006"
"[]","Count_Student_AssessmentLevel3_Asian_SchoolGrade3_Mathematics","[]","[]","[]","371","2006"
"[]","Count_Student_AcademicAssessmentEvent_White_SchoolGrade4_Mathematics","[]","[]","[]","715","2006"
"[]","Mean_Score_Student_Black_SchoolGrade5_Mathematics","[]","[]","[]","667","2006"
"[]","Count_Student_AcademicAssessmentEvent_White_SchoolGrade8_Mathematics","[]","[]","[]","464","2006"
"[]","Count_Student_AssessmentLevel2_NoDisability_SchoolGrade6_Mathematics","[]","[]","[]","590","2006"
"[]","Count_Student_AssessmentLevel4_EnglishLearner_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_EnglishLearner_SchoolGrade3_Mathematics","[]","[]","[]","625","2006"
"[]","Count_Student_AcademicAssessmentEvent_Female_SchoolGrade7_Mathematics","[]","[]","[]","588","2006"
"[]","Count_Student_AssessmentLevel2_AnyDisability_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade3_Mathematics","[]","[]","[]","725","2006"
"[]","Count_Student_AssessmentLevel2_Black_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade7_Mathematics","[]","[]","[]","480","2006"
"[]","Count_Student_AcademicAssessmentEvent_Female_SchoolGrade3_Mathematics","[]","[]","[]","823","2006"
"[]","Count_Student_AssessmentLevel2_White_SchoolGrade6_Mathematics","[]","[]","[]","239","2006"
"[]","Mean_Score_Student_HispanicOrLatino_SchoolGrade6_Mathematics","[]","[]","[]","598","2006"
"[]","Count_Student_AcademicAssessmentEvent_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","742","2006"
"[]","Count_Student_AssessmentLevel3_FluentProficient_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","746","2006"
"[]","Count_Student_AssessmentLevel3_Asian_SchoolGrade7_Mathematics","[]","[]","[]","227","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_White_SchoolGrade8_Mathematics","[]","[]","[]","214","2006"
"[]","Count_Student_AssessmentLevel1_Black_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade4_Mathematics","[]","[]","[]","614","2006"
"[]","Count_Student_AssessmentLevel4_AnyDisability_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade5_Mathematics","[]","[]","[]","726","2006"
"[]","Count_Student_AssessmentLevel4_EnglishLearner_SchoolGrade6_Mathematics","[]","[]","[]","453","2006"
"[]","Count_Student_AssessmentLevel3_Asian_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_Asian_SchoolGrade6_Mathematics","[]","[]","[]","275","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_White_SchoolGrade4_Mathematics","[]","[]","[]","355","2006"
"[]","Count_Student_AssessmentLevel1_White_SchoolGrade6_Mathematics","[]","[]","[]","239","2006"
"[]","Count_Student_AssessmentLevel4_Asian_SchoolGrade3_Mathematics","[]","[]","[]","371","2006"
"[]","Count_Student_AssessmentLevel1_Female_SchoolGrade5_Mathematics","[]","[]","[]","732","2006"
"[]","Count_Student_AssessmentLevel3_Asian_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_Asian_SchoolGrade7_Mathematics","[]","[]","[]","227","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_AnyDisability_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade6_Mathematics","[]","[]","[]","577","2006"
"[]","Count_Student_AssessmentLevel4_SchoolGrade5_Mathematics","[]","[]","[]","12","2006"
"[]","Count_Student_AssessmentLevel3_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_SchoolGrade4_Mathematics","[]","[]","[]","8","2006"
"[]","Count_Student_AssessmentLevel2_SchoolGrade3_Mathematics","[]","[]","[]","10","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_Male_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_Male_SchoolGrade3_Mathematics","[]","[]","[]","743","2006"
"[]","Count_Student_AssessmentLevel2_FluentProficient_EnglishLearner_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_FluentProficient_EnglishLearner_SchoolGrade4_Mathematics","[]","[]","[]","731","2006"
"[]","Count_Student_AssessmentLevel1_Asian_SchoolGrade7_Mathematics","[]","[]","[]","227","2006"
"[]","Count_Student_AssessmentLevel2_SchoolGrade7_Mathematics","[]","[]","[]","8","2006"
"[]","Count_Student_AssessmentLevel2_Asian_SchoolGrade3_Mathematics","[]","[]","[]","371","2006"
"[]","Mean_Score_Student_FluentProficient_EnglishLearner_SchoolGrade6_Mathematics","[]","[]","[]","619","2006"
"[]","Count_Student_AssessmentLevel4_HispanicOrLatino_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_HispanicOrLatino_SchoolGrade8_Mathematics","[]","[]","[]","486","2006"
"[]","Count_Student_AssessmentLevel4_Female_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade5_Mathematics","[]","[]","[]","732","2006"
"[]","Count_Student_AcademicAssessmentEvent_AnyDisability_SchoolGrade6_Mathematics","[]","[]","[]","636","2006"
"[]","Count_Student_AssessmentLevel3_White_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_White_SchoolGrade6_Mathematics","[]","[]","[]","239","2006"
"[]","Count_Student_AssessmentLevel1_Asian_SchoolGrade3_Mathematics","[]","[]","[]","371","2006"
"[]","Count_Student_AssessmentLevel3_Female_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade7_Mathematics","[]","[]","[]","504","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_FluentProficient_EnglishLearner_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_FluentProficient_EnglishLearner_SchoolGrade8_Mathematics","[]","[]","[]","510","2006"
"[]","Count_Student_AssessmentLevel2_EnglishLearner_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_EnglishLearner_SchoolGrade4_Mathematics","[]","[]","[]","586","2006"
"[]","Count_Student_AssessmentLevel4_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_SchoolGrade6_Mathematics","[]","[]","[]","10","2006"
"[]","Count_Student_AssessmentLevel3_AnyDisability_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_AnyDisability_SchoolGrade4_Mathematics","[]","[]","[]","710","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_NoDisability_SchoolGrade3_Mathematics","[]","[]","[]","708","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_NoDisability_SchoolGrade4_Mathematics","[]","[]","[]","703","2006"
"[]","Count_Student_AssessmentLevel3_Female_SchoolGrade7_Mathematics","[]","[]","[]","504","2006"
